"","tank","sync.x","block.x","trt.x","order.x","trt.y","order.y","sd","se","ci","cont","adj","biom_cont","emer_cont","emsd_cont","mass_cont","surv_cont","X","block.y","trt","order","sync.y","surv","biom","mass","emer","emsd","rana"
"92",21,"med",3,"same_med","same","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,21,3,"same_med","same","med",0.488888888888889,3842.7,174.668181818182,58.5454545454545,35.9135566295452,0
"93",21,"med",3,"same_med","same","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,21,3,"same_med","same","med",0.488888888888889,3842.7,174.668181818182,58.5454545454545,35.9135566295452,0
"94",21,"med",3,"same_med","same","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,21,3,"same_med","same","med",0.488888888888889,3842.7,174.668181818182,58.5454545454545,35.9135566295452,0
"95",21,"med",3,"same_med","same","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,21,3,"same_med","same","med",0.488888888888889,3842.7,174.668181818182,58.5454545454545,35.9135566295452,0
"96",22,"high",3,"same_high","same","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,22,3,"same_high","same","high",0.0666666666666667,416.2,138.733333333333,100.666666666667,59.8776530379518,0.1
"97",22,"high",3,"same_high","same","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,22,3,"same_high","same","high",0.0666666666666667,416.2,138.733333333333,100.666666666667,59.8776530379518,0.1
"98",22,"high",3,"same_high","same","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,22,3,"same_high","same","high",0.0666666666666667,416.2,138.733333333333,100.666666666667,59.8776530379518,0.1
"99",22,"high",3,"same_high","same","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,22,3,"same_high","same","high",0.0666666666666667,416.2,138.733333333333,100.666666666667,59.8776530379518,0.1
"100",22,"high",3,"same_high","same","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,22,3,"same_high","same","high",0.0666666666666667,416.2,138.733333333333,100.666666666667,59.8776530379518,0.1
"101",23,"low",3,"late_low","late","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,23,3,"late_low","late","low",0.222222222222222,1718.5,171.85,69.1,42.5531040779244,0
"102",23,"low",3,"late_low","late","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,23,3,"late_low","late","low",0.222222222222222,1718.5,171.85,69.1,42.5531040779244,0
"103",23,"low",3,"late_low","late","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,23,3,"late_low","late","low",0.222222222222222,1718.5,171.85,69.1,42.5531040779244,0
"104",23,"low",3,"late_low","late","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,23,3,"late_low","late","low",0.222222222222222,1718.5,171.85,69.1,42.5531040779244,0
"105",23,"low",3,"late_low","late","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,23,3,"late_low","late","low",0.222222222222222,1718.5,171.85,69.1,42.5531040779244,0
"106",24,"med",3,"early_med","early","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,24,3,"early_med","early","med",0.733333333333333,5617.28455034589,169.540625,51.0606060606061,23.0758794441558,0
"107",24,"med",3,"early_med","early","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,24,3,"early_med","early","med",0.733333333333333,5617.28455034589,169.540625,51.0606060606061,23.0758794441558,0
"108",24,"med",3,"early_med","early","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,24,3,"early_med","early","med",0.733333333333333,5617.28455034589,169.540625,51.0606060606061,23.0758794441558,0
"109",24,"med",3,"early_med","early","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,24,3,"early_med","early","med",0.733333333333333,5617.28455034589,169.540625,51.0606060606061,23.0758794441558,0
"110",24,"med",3,"early_med","early","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,24,3,"early_med","early","med",0.733333333333333,5617.28455034589,169.540625,51.0606060606061,23.0758794441558,0
"111",25,"low",3,"same_low","same","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,25,3,"same_low","same","low",0.511111111111111,4174.8,181.513043478261,47,22.2220202011019,0.166666666666667
"112",25,"low",3,"same_low","same","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,25,3,"same_low","same","low",0.511111111111111,4174.8,181.513043478261,47,22.2220202011019,0.166666666666667
"113",25,"low",3,"same_low","same","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,25,3,"same_low","same","low",0.511111111111111,4174.8,181.513043478261,47,22.2220202011019,0.166666666666667
"114",25,"low",3,"same_low","same","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,25,3,"same_low","same","low",0.511111111111111,4174.8,181.513043478261,47,22.2220202011019,0.166666666666667
"115",25,"low",3,"same_low","same","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,25,3,"same_low","same","low",0.511111111111111,4174.8,181.513043478261,47,22.2220202011019,0.166666666666667
"116",26,"high",3,"early_high","early","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,26,3,"early_high","early","high",0.644444444444444,5490.68455034589,189.239285714286,50.0689655172414,13.9205168071211,0.233333333333333
"117",26,"high",3,"early_high","early","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,26,3,"early_high","early","high",0.644444444444444,5490.68455034589,189.239285714286,50.0689655172414,13.9205168071211,0.233333333333333
"118",26,"high",3,"early_high","early","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,26,3,"early_high","early","high",0.644444444444444,5490.68455034589,189.239285714286,50.0689655172414,13.9205168071211,0.233333333333333
